item_id,nome,categoria,preco,descricao,imagem_url,cat_idx
27,Condicionador Hidratante Top,Beleza e Cuidados,523.95,Condicionador Hidratante Top da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item27,1
28,Blocos de Montar Veículos Nexus,Brinquedos,600.57,Blocos de Montar Veículos Nexus da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item28,2
29,Livro de Ficção Nexus,Livros e Papelaria,65.52,Livro de Ficção Nexus da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item29,6
30,Caderno Inteligente Cool,Livros e Papelaria,615.39,Caderno Inteligente Cool da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item30,6
31,Cerveja Stout VerdeVida,Alimentos e Bebidas,187.11,Cerveja Stout VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item31,0
32,Hidratante Facial Trend,Beleza e Cuidados,83.75,Hidratante Facial Trend da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item32,1
33,Haltere 5kg Top,Esportes,949.91,Haltere 5kg Top da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item33,5
34,Chá Verde Classic,Alimentos e Bebidas,966.32,Chá Verde Classic da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item34,0
35,Fone de Ouvido Sem Fio Pro,Eletrônicos,812.23,Fone de Ouvido Sem Fio Pro da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item35,4
36,Cerveja Stout Nexus,Alimentos e Bebidas,318.52,Cerveja Stout Nexus da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item36,0
37,Corda de Pular Pro,Esportes,115.72,Corda de Pular Pro da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item37,5
38,Luva de Goleiro Lumina,Esportes,690.55,Luva de Goleiro Lumina da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item38,5
39,Marcador de Página Cool,Livros e Papelaria,451.35,Marcador de Página Cool da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item39,6
40,Camiseta Polo Nexus,Roupas,139.6,Camiseta Polo Nexus da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item40,7
41,Escova de Cabelo Raquete Pro,Beleza e Cuidados,505.27,Escova de Cabelo Raquete Pro da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item41,1
42,Perfume Cítrico Prime,Beleza e Cuidados,53.7,Perfume Cítrico Prime da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item42,1
43,Puzzle Arte Cool,Livros e Papelaria,911.13,Puzzle Arte Cool da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item43,6
44,Chá Verde Pro,Alimentos e Bebidas,273.6,Chá Verde Pro da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item44,0
45,Hidratante Facial Lumina,Beleza e Cuidados,669.27,Hidratante Facial Lumina da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item45,1
46,Quadro Fotografia Fit,Casa e Decoração,325.48,Quadro Fotografia Fit da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item46,3
47,Chá Verde VerdeVida,Alimentos e Bebidas,529.67,Chá Verde VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item47,0
48,Meia Esportiva Fit,Roupas,555.78,Meia Esportiva Fit da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item48,7
49,Puzzle Arte Pro,Livros e Papelaria,201.16,Puzzle Arte Pro da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item49,6
50,Quebra-Cabeça 500 Peças Top,Brinquedos,970.19,Quebra-Cabeça 500 Peças Top da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item50,2
51,Boné Aba Reta Lumina,Roupas,779.63,Boné Aba Reta Lumina da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item51,7
52,Fone de Ouvido Sem Fio Classic,Eletrônicos,940.71,Fone de Ouvido Sem Fio Classic da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item52,4
53,Webcam HD Prime,Eletrônicos,896.93,Webcam HD Prime da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item53,4
54,Azeite Extra Virgem VerdeVida,Alimentos e Bebidas,605.94,Azeite Extra Virgem VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item54,0
55,Café Especial VerdeVida,Alimentos e Bebidas,923.44,Café Especial VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item55,0
56,Bola de Futebol VerdeVida,Esportes,106.72,Bola de Futebol VerdeVida da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item56,5
57,Porta-Retrato Metal Trend,Casa e Decoração,212.06,Porta-Retrato Metal Trend da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item57,3
58,Boneco Articulado VerdeVida,Brinquedos,64.32,Boneco Articulado VerdeVida da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item58,2
59,Puzzle Arte Top,Livros e Papelaria,338.82,Puzzle Arte Top da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item59,6
60,Relógio de Parede Minimalista Fit,Casa e Decoração,400.9,Relógio de Parede Minimalista Fit da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item60,3
61,Meia Esportiva VerdeVida,Roupas,285.92,Meia Esportiva VerdeVida da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item61,7
62,Tapete Geométrico Top,Casa e Decoração,832.16,Tapete Geométrico Top da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item62,3
63,Camiseta Polo Nexus,Roupas,369.62,Camiseta Polo Nexus da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item63,7
64,Boné Aba Reta Pro,Roupas,295.32,Boné Aba Reta Pro da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item64,7
65,Shorts Jeans Pro,Roupas,551.84,Shorts Jeans Pro da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item65,7
66,Porta-Retrato Metal Nexus,Casa e Decoração,158.11,Porta-Retrato Metal Nexus da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item66,3
67,Caderno Inteligente VerdeVida,Livros e Papelaria,806.15,Caderno Inteligente VerdeVida da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item67,6
68,Chá Verde Lumina,Alimentos e Bebidas,93.06,Chá Verde Lumina da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item68,0
69,Caderno Inteligente Classic,Livros e Papelaria,987.15,Caderno Inteligente Classic da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item69,6
70,Bola de Futebol Pro,Esportes,776.8,Bola de Futebol Pro da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item70,5
71,Carregador Portátil Fit,Eletrônicos,214.74,Carregador Portátil Fit da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item71,4
72,Luva de Goleiro Classic,Esportes,25.41,Luva de Goleiro Classic da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item72,5
73,Camiseta Polo Smart,Roupas,819.15,Camiseta Polo Smart da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item73,7
74,Haltere 5kg Pro,Esportes,712.72,Haltere 5kg Pro da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item74,5
75,Quadro Fotografia Top,Casa e Decoração,734.43,Quadro Fotografia Top da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item75,3
76,Caderno Inteligente Trend,Livros e Papelaria,775.84,Caderno Inteligente Trend da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item76,6
77,Café Especial Classic,Alimentos e Bebidas,92.56,Café Especial Classic da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item77,0
78,Relógio de Parede Minimalista Classic,Casa e Decoração,371.3,Relógio de Parede Minimalista Classic da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item78,3
79,Fone de Ouvido Sem Fio Nexus,Eletrônicos,133.55,Fone de Ouvido Sem Fio Nexus da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item79,4
80,Camiseta Polo Top,Roupas,865.84,Camiseta Polo Top da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item80,7
81,Azeite Extra Virgem Classic,Alimentos e Bebidas,630.83,Azeite Extra Virgem Classic da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item81,0
82,Caderno Inteligente Trend,Livros e Papelaria,344.28,Caderno Inteligente Trend da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item82,6
83,Boné Aba Reta Trend,Roupas,82.29,Boné Aba Reta Trend da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item83,7
84,Jaqueta Corta-Vento Cool,Roupas,324.76,Jaqueta Corta-Vento Cool da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item84,7
85,Caneta Esferográfica Trend,Livros e Papelaria,338.68,Caneta Esferográfica Trend da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item85,6
86,Caderno Inteligente Top,Livros e Papelaria,735.01,Caderno Inteligente Top da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item86,6
87,Escova de Cabelo Ventoinha Smart,Beleza e Cuidados,644.81,Escova de Cabelo Ventoinha Smart da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item87,1
88,Shorts Jeans Smart,Roupas,889.47,Shorts Jeans Smart da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item88,7
89,Meia Esportiva Classic,Roupas,482.77,Meia Esportiva Classic da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item89,7
90,Barra de Cereal Chocolate VerdeVida,Alimentos e Bebidas,137.2,Barra de Cereal Chocolate VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item90,0
91,Mouse Sem Fio Pro,Eletrônicos,718.98,Mouse Sem Fio Pro da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item91,4
92,Mouse Sem Fio Trend,Eletrônicos,765.57,Mouse Sem Fio Trend da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item92,4
93,Webcam HD Top,Eletrônicos,570.05,Webcam HD Top da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item93,4
94,Meia Esportiva Pro,Roupas,775.55,Meia Esportiva Pro da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item94,7
95,Corda de Pular Lumina,Esportes,503.92,Corda de Pular Lumina da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item95,5
96,Quebra-Cabeça 500 Peças Top,Brinquedos,532.28,Quebra-Cabeça 500 Peças Top da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item96,2
97,Blocos de Montar Veículos Cool,Brinquedos,438.99,Blocos de Montar Veículos Cool da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item97,2
98,Bola de Futebol Nexus,Esportes,44.91,Bola de Futebol Nexus da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item98,5
99,Perfume Cítrico Fit,Beleza e Cuidados,125.73,Perfume Cítrico Fit da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item99,1
100,Fone de Ouvido Sem Fio Classic,Eletrônicos,50.8,Fone de Ouvido Sem Fio Classic da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item100,4
101,Fone de Ouvido Sem Fio VerdeVida,Eletrônicos,643.68,Fone de Ouvido Sem Fio VerdeVida da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item101,4
102,Tapete Geométrico Cool,Casa e Decoração,328.07,Tapete Geométrico Cool da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item102,3
103,Café Especial Pro,Alimentos e Bebidas,518.4,Café Especial Pro da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item103,0
104,Porta-Retrato Metal Cool,Casa e Decoração,909.42,Porta-Retrato Metal Cool da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item104,3
105,Azeite Extra Virgem VerdeVida,Alimentos e Bebidas,264.31,Azeite Extra Virgem VerdeVida da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item105,0
106,Hidratante Facial Nexus,Beleza e Cuidados,422.18,Hidratante Facial Nexus da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item106,1
107,Meia Esportiva Cool,Roupas,760.44,Meia Esportiva Cool da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item107,7
108,Mouse Sem Fio Cool,Eletrônicos,244.22,Mouse Sem Fio Cool da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item108,4
109,Fone de Ouvido Sem Fio VerdeVida,Eletrônicos,95.44,Fone de Ouvido Sem Fio VerdeVida da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item109,4
110,Café Especial Cool,Alimentos e Bebidas,303.96,Café Especial Cool da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item110,0
111,Porta-Retrato Metal Top,Casa e Decoração,178.0,Porta-Retrato Metal Top da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item111,3
112,Hidratante Facial Classic,Beleza e Cuidados,931.1,Hidratante Facial Classic da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item112,1
113,Condicionador Hidratante Pro,Beleza e Cuidados,811.96,Condicionador Hidratante Pro da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item113,1
114,Haltere 5kg Smart,Esportes,640.74,Haltere 5kg Smart da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item114,5
115,Shorts Jeans Prime,Roupas,874.03,Shorts Jeans Prime da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item115,7
116,Escova de Cabelo Ventoinha Classic,Beleza e Cuidados,807.6,Escova de Cabelo Ventoinha Classic da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item116,1
117,Corda de Pular Smart,Esportes,202.84,Corda de Pular Smart da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item117,5
118,Fone de Ouvido Sem Fio Prime,Eletrônicos,894.71,Fone de Ouvido Sem Fio Prime da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item118,4
119,Shorts Jeans Lumina,Roupas,548.56,Shorts Jeans Lumina da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item119,7
120,Azeite Extra Virgem Prime,Alimentos e Bebidas,811.29,Azeite Extra Virgem Prime da categoria Alimentos e Bebidas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item120,0
121,Shorts Jeans Fit,Roupas,898.17,Shorts Jeans Fit da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item121,7
122,Shorts Jeans Top,Roupas,331.64,Shorts Jeans Top da categoria Roupas. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item122,7
123,Relógio de Parede Minimalista Fit,Casa e Decoração,127.85,Relógio de Parede Minimalista Fit da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item123,3
124,Corda de Pular Prime,Esportes,243.38,Corda de Pular Prime da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item124,5
125,Quadro Fotografia Prime,Casa e Decoração,438.57,Quadro Fotografia Prime da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item125,3
126,Raquete Tênis Prime,Esportes,821.65,Raquete Tênis Prime da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item126,5
127,Boneco Articulado Nexus,Brinquedos,863.52,Boneco Articulado Nexus da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item127,2
128,Porta-Retrato Metal Prime,Casa e Decoração,26.81,Porta-Retrato Metal Prime da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item128,3
129,Carregador Portátil Smart,Eletrônicos,520.53,Carregador Portátil Smart da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item129,4
130,Caderno Inteligente Top,Livros e Papelaria,429.06,Caderno Inteligente Top da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item130,6
131,Caneta Esferográfica Cool,Livros e Papelaria,237.67,Caneta Esferográfica Cool da categoria Livros e Papelaria. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item131,6
132,Quadro Fotografia Smart,Casa e Decoração,137.47,Quadro Fotografia Smart da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item132,3
133,Abajur Led Fit,Casa e Decoração,350.86,Abajur Led Fit da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item133,3
134,Condicionador Hidratante Cool,Beleza e Cuidados,944.05,Condicionador Hidratante Cool da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item134,1
135,Jogo de Tabuleiro Trend,Brinquedos,336.74,Jogo de Tabuleiro Trend da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item135,2
136,Kite Mini Pro,Brinquedos,528.41,Kite Mini Pro da categoria Brinquedos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item136,2
137,Escova de Cabelo Ventoinha Lumina,Beleza e Cuidados,708.96,Escova de Cabelo Ventoinha Lumina da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item137,1
138,Condicionador Hidratante Pro,Beleza e Cuidados,376.36,Condicionador Hidratante Pro da categoria Beleza e Cuidados. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item138,1
139,Haltere 5kg Fit,Esportes,972.35,Haltere 5kg Fit da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item139,5
140,Corda de Pular VerdeVida,Esportes,963.2,Corda de Pular VerdeVida da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item140,5
141,Carregador Portátil Lumina,Eletrônicos,266.75,Carregador Portátil Lumina da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item141,4
142,Porta-Retrato Metal Smart,Casa e Decoração,507.3,Porta-Retrato Metal Smart da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item142,3
143,Raquete Tênis VerdeVida,Esportes,314.86,Raquete Tênis VerdeVida da categoria Esportes. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item143,5
144,Porta-Retrato Metal Trend,Casa e Decoração,299.14,Porta-Retrato Metal Trend da categoria Casa e Decoração. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item144,3
145,Teclado Mecânico Lumina,Eletrônicos,56.15,Teclado Mecânico Lumina da categoria Eletrônicos. Produto de alta qualidade para o dia a dia.,https://via.placeholder.com/300x300?text=Item145,4
